"FMAID","Preferred Label","Parent FMAID"
278275,"Set of paracolic lymphatic vessels of transverse colon",278223
278273,"Set of paracolic lymphatic vessels of descending colon",278223
278271,"Set of paracolic lymphatic vessels of sigmoid colon",278223
34113,"Periosteum of distal epiphysis of fibula",34107
59320,"Left medial palpebral commissure",59316
71596,"Set of carpal tendinous sheaths",84357
34652,"Periosteum of diaphysis of metatarsal bone",34651
54509,"Left hypoglossal nerve nucleus",54505
26635,"Right posterolateral part of body of eighth thoracic vertebra",26616
266357,"Dura mater of anterior root of right eighth thoracic nerve",266355
266351,"Dura mater of anterior root of right seventh thoracic nerve",266349
266355,"Dura mater of anterior root of eighth thoracic nerve",266111
266359,"Dura mater of anterior root of left eighth thoracic nerve",266355
266353,"Dura mater of anterior root of left seventh thoracic nerve",266349
44421,"Right fourth plantar tarsometatarsal ligament",44412
328167,"Left fetal lateral rectus",328149
16696,"Left colic lymph node",16615
25187,"Surface of axis",24318
35461,"Posterior intercondylar part of right tibia",35460
85544,"Subdivision of skeletal system",67509
73487,"Right subcuneiform nucleus",72428
83912,"Gray matter of diencephalon",67242
13787,"Cavity of joint of head of fifth rib",10444
38277,"Skin of lateral part of forearm",322287
29987,"Bony part of fifth thoracic vertebral arch",29981
299877,"Distal tendon of levator scapulae",38804
299872,"Proximal tendon of right levator scapulae",299870
299870,"Proximal tendon of levator scapulae",38804
299874,"Proximal tendon of left levator scapulae",299870
39787,"Bone of diaphysis of right radius",39784
38755,"Tendon of right latissimus dorsi",38748
23352,"Epiphysis of left humerus",32825
233528,"Set of cubital lymphatic vessels",63815
233520,"Set of left infraclavicular lymphatic vessels",233516
36745,"Distal epiphyseal plate of fourth metacarpal bone",34500
28317,"Surface of left lamina of seventh thoracic vertebra",28298
283175,"Multiform layer of left Brodmann area 5",282959
283171,"Internal granular layer of left Brodmann area 5",282761
283173,"Multiform layer of right Brodmann area 5",282959
283179,"Plexiform layer of left Brodmann area 6",282439
283177,"Plexiform layer of right Brodmann area 6",282439
51001,"Right inferior choroid vein",50998
57597,"Anterior part of right inferior nasal concha",57596
64907,"Dento-alveolar joint of left lower third molar tooth",64901
33732,"Distal epiphysis of fibula",33726
55811,"Secondary first upper molar tooth",290269
269382,"Vasculature of pectoral part proper of female chest",269378
26938,"Compact bone of inferior articular process of eighth thoracic vertebra",26122
269386,"Vasculature of right inframammary part of chest",269384
269388,"Vasculature of left inframammary part of chest",269386
269384,"Vasculature of inframammary part of chest",74722
269380,"Vasculature of pectoral part proper of male chest",269378
55502,"Superior border of petrous part of temporal bone",53131
76343,"Trunk of trapezius branch of dorsal scapular artery",76330
70322,"Precardinal anastomosis",69067
56550,"Crown of upper central incisor tooth",57960
70625,"Subdivision of apocrine sweat gland",70597
47086,"Epimysium of fibularis tertius",47083
16099,"Right pedicle of first lumbar vertebra",16094
11346,"Left forearm",9663
74353,"Stroma of median lobe of prostate",74351
48603,"Perimysium of posterior cervical intertransversarius",48597
71923,"Set of frontal planes",71919
66660,"Trunk of pericardial vein",45849
35912,"Fibrocartilage of left third metatarsal bone",35910
53577,"Upper branch of right internal laryngeal nerve to mucosa of pharynx",6697
45421,"Interosseous nerve of left leg",44692
35440,"Left superior glenohumeral ligament",35436
33601,"Lateral surface of right talus",33594
84232,"Right primary lower canine tooth",84229
83793,"Inferior pontine sulcus",75759
56389,"Lingual surface layer of second upper molar tooth",290583
48048,"Epimysium of left mylohyoid",48046
11733,"Medial branch of posterior ramus of tenth thoracic nerve",6046
16677,"Parametrial lymphatic vessel",234843
61901,"Superior occipital gyrus",274522
59384,"Palpebral part of lacrimal gland",59381
50816,"Superior bulb of right internal jugular vein",50805
84415,"Type 2A muscle fiber",84414
49400,"Tendon of right extensor digitorum longus to right fifth toe",49393
26058,"Left neurocentral junction of third cervical vertebra",26052
260585,"Plasma membrane of glioblast",260575
260581,"Plasma membrane of central neuroglial cell",260579
260589,"Plasma membrane of vestibular sensory cell",260575
260587,"Plasma membrane of dense-core granulated cell",260575
52211,"Left marginal sinus",50766
58157,"Posterior part of left pleural cavity",58155
235433,"Compact bone of right fourth rib",235403
235439,"Compact bone of left fifth rib",235405
235437,"Compact bone of right fifth rib",235405
235431,"Compact bone of left third rib",235401
235435,"Compact bone of left fourth rib",235403
23543,"Extensor pollicis longus tendon groove of left radius",23541
44164,"Compact bone of neck of left talus",44161
84240,"Right primary second upper molar tooth",84236
78167,"Trunk of right third anterior intercostal vein",78142
81521,"Left eighth thoracic rotator",81502
18595,"Medial surface of right ovary",18594
15552,"Muscular tributary of ventral tributary of left first lumbar vein",15545
27942,"Trabecular bone of articular process of axis",25077
69029,"Lateral ramus of trunk of anterior basal segmental vein",68962
40181,"Compact bone of distal part of left scaphoid",40178
17320,"External surface of ascending colon",17312
61009,"Conchal part of left pinna",61006
15821,"Triangular ligament",20971
50151,"Branch of left anterior choroidal artery to left globus pallidus",50121
44870,"Lateral proper palmar digital branch of right median nerve to right ring finger",44869
78118,"Trunk of spinal tributary of left third lumbar vein",78116
